Code,Name,Close,MA25,MA75,Turnover,TurnoverMA25,TurnoverMA75,Category,DataDate
6272,レオン自動機,,,,,,,,
6273,ＳＭＣ,,,,,,,,
6277,ホソカワミクロン,,,,,,,,
6278,ユニオンツール,,,,,,,,
6279,瑞光,,,,,,,,
6282,オイレス工業,,,,,,,,
6284,日精エー・エス・ビー機械,,,,,,,,
6287,サトー,,,,,,,,
6289,技研製作所,,,,,,,,
6294,オカダアイヨン,,,,,,,,
6298,ワイエイシイホールディングス,,,,,,,,
6301,小松製作所,,,,,,,,
6302,住友重機械工業,,,,,,,,
6305,日立建機,,,,,,,,
6306,日工,,,,,,,,
6309,巴工業,,,,,,,,
6310,井関農機,,,,,,,,
6315,ＴＯＷＡ,,,,,,,,
6323,ローツェ,,,,,,,,
6324,ハーモニック・ドライブ・システムズ,,,,,,,,
6326,クボタ,,,,,,,,
6328,荏原実業,,,,,,,,
6330,東洋エンジニアリング,,,,,,,,
6331,三菱化工機,,,,,,,,
6332,月島ホールディングス,,,,,,,,
6333,帝国電機製作所,,,,,,,,
6339,新東工業,,,,,,,,
6340,澁谷工業,,,,,,,,
6345,アイチ　コーポレーション,,,,,,,,
6349,小森コーポレーション,,,,,,,,
6351,鶴見製作所,,,,,,,,
6358,酒井重工業,,,,,,,,
6361,荏原製作所,,,,,,,,
6363,酉島製作所,,,,,,,,
6364,ＡＩＲＭＡＮ,,,,,,,,
6367,ダイキン工業,,,,,,,,
6368,オルガノ,,,,,,,,
6369,トーヨーカネツ,,,,,,,,
6370,栗田工業,,,,,,,,
6371,椿本チエイン,,,,,,,,
6376,日機装,,,,,,,,
6379,レイズネクスト,,,,,,,,
6381,アネスト岩田,,,,,,,,
6383,ダイフク,,,,,,,,
6387,サムコ,,,,,,,,
6390,加藤製作所,,,,,,,,
6395,タダノ,,,,,,,,
6407,ＣＫＤ,,,,,,,,
6412,平和,,,,,,,,
6413,理想科学工業,,,,,,,,
6417,ＳＡＮＫＹＯ,,,,,,,,
6418,日本金銭機械,,,,,,,,
6419,マースグループホールディングス,,,,,,,,
6420,ガリレイ,,,,,,,,
6430,ダイコク電機,,,,,,,,
6432,竹内製作所,,,,,,,,
6436,アマノ,,,,,,,,
6440,ＪＵＫＩ,,,,,,,,
6445,ジャノメ,,,,,,,,
6448,ブラザー工業,,,,,,,,
6454,マックス,,,,,,,,
6455,モリタホールディングス,,,,,,,,
6457,グローリー,,,,,,,,
6458,新晃工業,,,,,,,,
6459,大和冷機工業,,,,,,,,
6460,セガサミーホールディングス,,,,,,,,
6463,ＴＰＲ,,,,,,,,
6464,ツバキ・ナカシマ,,,,,,,,
6465,ホシザキ,,,,,,,,
6471,日本精工,,,,,,,,
6472,ＮＴＮ,,,,,,,,
6473,ジェイテクト,,,,,,,,
6474,不二越,,,,,,,,
6479,ミネベアミツミ,,,,,,,,
6480,日本トムソン,,,,,,,,
6481,ＴＨＫ,,,,,,,,
6486,イーグル工業,,,,,,,,
6490,ＰＩＬＬＡＲ,,,,,,,,
6498,キッツ,,,,,,,,
6501,日立製作所,,,,,,,,
6503,三菱電機,,,,,,,,
6504,富士電機,,,,,,,,
6506,安川電機,,,,,,,,
6507,シンフォニアテクノロジー,,,,,,,,
6508,明電舎,,,,,,,,
6516,山洋電気,,,,,,,,
6517,デンヨー,,,,,,,,
6523,ＰＨＣホールディングス,,,,,,,,
6525,ＫＯＫＵＳＡＩ　ＥＬＥＣＴＲＩＣ,,,,,,,,
6526,ソシオネクスト,,,,,,,,
6532,ベイカレント,,,,,,,,
6533,Ｏｒｃｈｅｓｔｒａ　Ｈｏｌｄｉｎｇｓ,,,,,,,,
6535,アイモバイル,,,,,,,,
6539,ＭＳ－Ｊａｐａｎ,,,,,,,,
6544,ジャパンエレベーターサービスホールディングス,,,,,,,,
6560,エル・ティー・エス,,,,,,,,
6564,ミダックホールディングス,,,,,,,,
6571,キュービーネットホールディングス,,,,,,,,
6572,オープングループ,,,,,,,,
6584,三櫻工業,,,,,,,,
6586,マキタ,,,,,,,,
6588,東芝テック,,,,,,,,
6590,芝浦メカトロニクス,,,,,,,,
6592,マブチモーター,,,,,,,,
6594,ニデック,,,,,,,,
6615,ユー・エム・シー・エレクトロニクス,,,,,,,,
6616,トレックス・セミコンダクター,,,,,,,,
6617,東光高岳,,,,,,,,
6619,ダブル・スコープ,,,,,,,,
6620,宮越ホールディングス,,,,,,,,
6622,ダイヘン,,,,,,,,
6630,ヤーマン,,,,,,,,
6632,ＪＶＣケンウッド,,,,,,,,
6638,ミマキエンジニアリング,,,,,,,,
6644,大崎電気工業,,,,,,,,
6645,オムロン,,,,,,,,
6651,日東工業,,,,,,,,
6652,ＩＤＥＣ,,,,,,,,
6653,正興電機製作所,,,,,,,,
6674,ジーエス・ユアサ　コーポレーション,,,,,,,,
6699,ダイヤモンドエレクトリックホールディングス,,,,,,,,
6701,日本電気,,,,,,,,
6702,富士通,,,,,,,,
6703,沖電気工業,,,,,,,,
6706,電気興業,,,,,,,,
6707,サンケン電気,,,,,,,,
6718,アイホン,,,,,,,,
6723,ルネサスエレクトロニクス,,,,,,,,
6724,セイコーエプソン,,,,,,,,
6727,ワコム,,,,,,,,
6728,アルバック,,,,,,,,
6737,ＥＩＺＯ,,,,,,,,
6740,ジャパンディスプレイ,,,,,,,,
6741,日本信号,,,,,,,,
6742,京三製作所,,,,,,,,
6744,能美防災,,,,,,,,
6745,ホーチキ,,,,,,,,
6750,エレコム,,,,,,,,
6752,パナソニック　ホールディングス,,,,,,,,
6753,シャープ,,,,,,,,
6754,アンリツ,,,,,,,,
6758,ソニーグループ,,,,,,,,
6762,ＴＤＫ,,,,,,,,
6763,帝国通信工業,,,,,,,,
6768,タムラ製作所,,,,,,,,
6770,アルプスアルパイン,,,,,,,,
6779,日本電波工業,,,,,,,,
6785,鈴木,,,,,,,,
6787,メイコー,,,,,,,,
6788,日本トリム,,,,,,,,
6794,フォスター電機,,,,,,,,
6798,ＳＭＫ,,,,,,,,
6800,ヨコオ,,,,,,,,
6804,ホシデン,,,,,,,,
6806,ヒロセ電機,,,,,,,,
6807,日本航空電子工業,,,,,,,,
6809,ＴＯＡ,,,,,,,,
6810,マクセル,,,,,,,,
6814,古野電気,,,,,,,,
6817,スミダコーポレーション,,,,,,,,
6820,アイコム,,,,,,,,
6823,リオン,,,,,,,,
6841,横河電機,,,,,,,,
6844,新電元工業,,,,,,,,
6845,アズビル,,,,,,,,
6849,日本光電工業,,,,,,,,
6850,チノー,,,,,,,,
6856,堀場製作所,,,,,,,,
6857,アドバンテスト,,,,,,,,
6859,エスペック,,,,,,,,
6861,キーエンス,,,,,,,,
6866,日置電機,,,,,,,,
6869,シスメックス,,,,,,,,
6871,日本マイクロニクス,,,,,,,,
6875,メガチップス,,,,,,,,
6902,デンソー,,,,,,,,
6905,コーセル,,,,,,,,
6908,イリソ電子工業,,,,,,,,
6914,オプテックスグループ,,,,,,,,
6920,レーザーテック,,,,,,,,
6923,スタンレー電気,,,,,,,,
6925,ウシオ電機,,,,,,,,
6929,日本セラミック,,,,,,,,
6941,山一電機,,,,,,,,
6947,図研,,,,,,,,
6951,日本電子,,,,,,,,
6952,カシオ計算機,,,,,,,,
6954,ファナック,,,,,,,,
6958,日本シイエムケイ,,,,,,,,
6961,エンプラス,,,,,,,,
6962,大真空,,,,,,,,
6963,ローム,,,,,,,,
6965,浜松ホトニクス,,,,,,,,
6966,三井ハイテック,,,,,,,,
6971,京セラ,,,,,,,,
6976,太陽誘電,,,,,,,,
6981,村田製作所,,,,,,,,
6986,双葉電子工業,,,,,,,,
6988,日東電工,,,,,,,,
6995,東海理化電機製作所,,,,,,,,
6996,ニチコン,,,,,,,,
6997,日本ケミコン,,,,,,,,
6999,ＫＯＡ,,,,,,,,
7003,三井Ｅ＆Ｓ,5555.0,5791.4,6479.5,190.2,240.5,382.9,1,2026/5/8
7004,カナデビア,1275.0,1179.9,1068.8,14.9,13.7,10.6,12,2026/5/8
7011,三菱重工業,4510.0,4639.5,4706.9,1136.9,1052.6,1228.6,1,2026/5/8
7012,川崎重工業,3266.0,3197.2,3138.4,422.0,436.0,624.4,1,2026/5/8
7013,ＩＨＩ,3059.0,3163.9,3589.2,2122.1,605.7,741.0,1,2026/5/8
7033,マネジメントソリューションズ,1343.0,1340.1,1348.2,0.8,1.1,1.6,,2026/5/8
